match_id	home_total_shots	home_shots_off_target	home_shots_saved	home_corners	home_free_kicks	home_offsides	home_fouls	away_total_shots	away_shots_off_target	away_shots_saved	away_corners	away_free_kicks	away_offsides	away_fouls	home_yellow_cards	home_red_cards	away_yellow_cards	away_red_cards
2872328	0.0	6.0	4.0	6.0	11.0	11.0	1.0	6.0	8.0	0.0	6.0	12.0	10.0	1.0	2.0	0.0	0.0	0.0
2872332	4.0	4.0	6.0	10.0	11.0	12.0	1.0	7.0	6.0	4.0	5.0	13.0	11.0	0.0	3.0	0.0	1.0	0.0
2872331	3.0	6.0	3.0	4.0	11.0	9.0	1.0	5.0	2.0	2.0	7.0	10.0	11.0	0.0	0.0	0.0	1.0	0.0
2872334	5.0	4.0	1.0	3.0	11.0	12.0	1.0	3.0	5.0	3.0	4.0	13.0	10.0	1.0	3.0	0.0	2.0	0.0
2872333	2.0	4.0	3.0	6.0	11.0	12.0	4.0	5.0	5.0	2.0	5.0	16.0	9.0	2.0	2.0	0.0	2.0	0.0
2872330	9.0	7.0	3.0	9.0	15.0	8.0	1.0	4.0	1.0	5.0	1.0	9.0	12.0	3.0	1.0	0.0	1.0	0.0
2872337	3.0	5.0	1.0	3.0	16.0	15.0	0.0	1.0	3.0	2.0	2.0	15.0	12.0	4.0	0.0	0.0	3.0	0.0
2872325	6.0	2.0	5.0	10.0	15.0	10.0	2.0	7.0	7.0	4.0	8.0	12.0	12.0	3.0	3.0	0.0	2.0	0.0
2872338	2.0	4.0	1.0	7.0	15.0	6.0	0.0	5.0	1.0	1.0	3.0	6.0	11.0	4.0	1.0	0.0	1.0	0.0
2872336	7.0	4.0	1.0	6.0	16.0	13.0	5.0	1.0	6.0	7.0	3.0	18.0	13.0	3.0	2.0	0.0	3.0	0.0
2872344	4.0	6.0	1.0	9.0	19.0	8.0	3.0	1.0	6.0	2.0	6.0	11.0	17.0	2.0	0.0	0.0	0.0	0.0
2872335	5.0	5.0	3.0	4.0	14.0	8.0	0.0	4.0	5.0	3.0	5.0	8.0	10.0	4.0	2.0	0.0	2.0	0.0
2872341	4.0	6.0	2.0	4.0	11.0	11.0	2.0	3.0	2.0	3.0	5.0	13.0	11.0	0.0	0.0	0.0	3.0	0.0
2872343	4.0	10.0	2.0	5.0	18.0	11.0	1.0	4.0	4.0	2.0	4.0	11.0	15.0	3.0	0.0	0.0	5.0	0.0
2872342	11.0	4.0	0.0	3.0	21.0	11.0	2.0	0.0	4.0	7.0	3.0	13.0	14.0	7.0	0.0	0.0	2.0	0.0
2872339	7.0	5.0	1.0	5.0	10.0	9.0	3.0	4.0	3.0	3.0	6.0	12.0	7.0	3.0	2.0	0.0	3.0	0.0
2872346	3.0	5.0	5.0	5.0	5.0	12.0	4.0	10.0	1.0	3.0	3.0	16.0	5.0	1.0	3.0	0.0	0.0	0.0
2872340	9.0	6.0	4.0	6.0	11.0	14.0	4.0	4.0	5.0	6.0	1.0	18.0	11.0	0.0	2.0	0.0	1.0	0.0
2872345	10.0	1.0	4.0	5.0	9.0	8.0	3.0	6.0	1.0	6.0	10.0	11.0	8.0	1.0	0.0	0.0	0.0	0.0
2872347	3.0	7.0	1.0	5.0	13.0	7.0	1.0	2.0	4.0	3.0	4.0	8.0	11.0	2.0	3.0	0.0	3.0	0.0
2872348	5.0	1.0	4.0	0.0	9.0	13.0	0.0	5.0	9.0	4.0	3.0	13.0	9.0	0.0	2.0	0.0	1.0	0.0
2872350	9.0	10.0	3.0	18.0	10.0	5.0	4.0	4.0	1.0	6.0	0.0	9.0	8.0	2.0	0.0	0.0	1.0	0.0
2872349	6.0	3.0	4.0	4.0	12.0	12.0	6.0	4.0	4.0	4.0	5.0	18.0	9.0	3.0	0.0	0.0	0.0	0.0
2872352	6.0	4.0	3.0	3.0	14.0	17.0	10.0	3.0	3.0	4.0	2.0	27.0	14.0	1.0	1.0	0.0	1.0	0.0
2872354	4.0	6.0	2.0	6.0	12.0	9.0	5.0	3.0	3.0	3.0	3.0	14.0	7.0	5.0	3.0	0.0	1.0	0.0
2872351	5.0	5.0	1.0	2.0	16.0	8.0	2.0	2.0	7.0	4.0	9.0	10.0	15.0	1.0	2.0	0.0	3.0	0.0
2872353	2.0	1.0	4.0	3.0	11.0	5.0	1.0	4.0	12.0	1.0	9.0	6.0	10.0	1.0	0.0	0.0	2.0	0.0
2872356	4.0	4.0	3.0	4.0	11.0	4.0	0.0	4.0	5.0	2.0	3.0	4.0	8.0	3.0	0.0	0.0	3.0	0.0
2872357	3.0	3.0	2.0	5.0	13.0	13.0	2.0	3.0	5.0	2.0	3.0	15.0	13.0	0.0	1.0	0.0	3.0	0.0
2872355	1.0	2.0	4.0	1.0	10.0	7.0	3.0	7.0	4.0	1.0	4.0	10.0	8.0	2.0	0.0	0.0	0.0	0.0
2872358	5.0	8.0	2.0	8.0	14.0	6.0	4.0	5.0	1.0	5.0	5.0	10.0	13.0	1.0	1.0	0.0	0.0	0.0
2872359	3.0	4.0	1.0	5.0	10.0	7.0	3.0	2.0	2.0	1.0	5.0	10.0	10.0	0.0	0.0	0.0	2.0	0.0
2872361	3.0	7.0	1.0	7.0	13.0	15.0	2.0	2.0	5.0	2.0	4.0	17.0	12.0	1.0	1.0	0.0	2.0	0.0
2872362	3.0	8.0	1.0	7.0	15.0	6.0	0.0	2.0	3.0	2.0	2.0	6.0	12.0	3.0	3.0	0.0	1.0	0.0
2872363	4.0	4.0	3.0	2.0	13.0	15.0	5.0	3.0	3.0	4.0	6.0	20.0	13.0	0.0	4.0	0.0	3.0	0.0
2872368	3.0	4.0	6.0	3.0	6.0	9.0	1.0	7.0	5.0	2.0	13.0	10.0	6.0	0.0	4.0	0.0	1.0	0.0
2872364	7.0	9.0	3.0	6.0	21.0	9.0	1.0	3.0	2.0	5.0	3.0	10.0	12.0	9.0	2.0	0.0	2.0	0.0
2872360	10.0	7.0	1.0	9.0	9.0	10.0	0.0	1.0	1.0	7.0	1.0	10.0	9.0	0.0	1.0	0.0	3.0	0.0
2872365	7.0	3.0	2.0	8.0	28.0	14.0	2.0	3.0	6.0	5.0	1.0	16.0	22.0	6.0	2.0	0.0	3.0	0.0
2872367	6.0	12.0	0.0	4.0	11.0	10.0	3.0	1.0	3.0	3.0	1.0	13.0	8.0	3.0	3.0	0.0	1.0	0.0
2872372	6.0	4.0	0.0	5.0	19.0	5.0	4.0	0.0	0.0	4.0	2.0	9.0	19.0	0.0	2.0	0.0	4.0	0.0
2872370	4.0	4.0	0.0	3.0	8.0	7.0	5.0	1.0	1.0	3.0	3.0	12.0	8.0	0.0	1.0	0.0	0.0	0.0
2872366	7.0	3.0	1.0	4.0	10.0	8.0	1.0	2.0	5.0	2.0	6.0	9.0	7.0	3.0	2.0	0.0	0.0	0.0
2872383	6.0	11.0	1.0	10.0	15.0	12.0	2.0	1.0	3.0	7.0	2.0	14.0	9.0	6.0	2.0	0.0	1.0	0.0
2872374	3.0	4.0	2.0	5.0	14.0	11.0	1.0	5.0	5.0	1.0	7.0	12.0	12.0	2.0	2.0	0.0	1.0	0.0
